name,token,type,batch,address,image
Dr. Andre Corgi,3,main,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_3.jpg
Corgi Nurse 1,4,side,Batch 1,0x44d19f3da0fcb4b4dd4baaad77ad35e962f6b921,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_4.jpg
Corgi Nurse 2,5,side,Batch 1,0xe7ba7b45a862ebfbe4199393abfe94a8da1e62b2,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_5.jpg
Corgi Nurse 3,6,side,Batch 1,0x6ffbb6c376d0cf590289671d652ae92213614828,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_6.jpg
Corgi Nurse 4,7,side,Batch 1,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_7.jpg
Corgi Nurse 5,9,side,Batch 1,0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_9.jpg
Corgi Nurse 6,10,side,Batch 1,0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_10.jpg
Corgi Nurse 7,11,side,Batch 1,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_11.jpg
Corgi Nurse 8,12,side,Batch 1,0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_12.jpg
Corgi Nurse 9,13,side,Batch 1,0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_13.jpg
Corgi Nurse 10,14,side,Batch 1,0x8807842d0846034b52b3c70bd975ce349ae4b683,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_14.jpg
Corgi Nurse 11,15,side,Batch 1,0xeeb072ecbe68bd123888a60cafd4c8c4fa02c65b,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_15.jpg
Corgi Nurse 12,16,side,Batch 1,0xadea3af062df0de0c29e67d001d0859cd738bccd,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_16.jpg
Corgi Nurse 13,17,side,Batch 1,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_17.jpg
Corgi Nurse 14,18,side,Batch 1,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_18.jpg
Corgi Nurse 15,19,side,Batch 1,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_19.jpg
Corgi Nurse 16,20,side,Batch 1,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_20.jpg
Corgi Nurse 17,21,side,Batch 1,0x0bda0f33311e65379461d0a555bbd7669c0eaa22,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_21.jpg
Corgi Nurse 18,22,side,Batch 1,0x26de13234f7a7b29b1fbbc27fdeef7c5bf840ace,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_22.jpg
Corgi Nurse 19,23,side,Batch 1,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_23.jpg
Corgi Nurse 20,24,side,Batch 1,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_24.jpg
Emperor Corgatine,25,main,,0xfa7c11e9e2d4fcd0f4646515a17289f5892a40b7,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_25.jpg
Darth Corgi,26,main,,0x6ffbb6c376d0cf590289671d652ae92213614828,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_26.jpg
Corgi Trooper #1,27,side,Batch 2,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_27.jpg
Corgi Trooper #2,28,side,Batch 2,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_28.jpg
Corgi Trooper #3,29,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_29.jpg
Corgi Trooper #4,30,side,Batch 2,0x26de13234f7a7b29b1fbbc27fdeef7c5bf840ace,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_30.jpg
Corgi Trooper #5,31,side,Batch 2,0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_31.jpg
Corgi Trooper #6,32,side,Batch 2,0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_32.jpg
Corgi Trooper #7,33,side,Batch 2,0x0c1c28ada4f896fcd6abe8aa25d1798af869adcc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_33.jpg
Corgi Trooper #8,34,side,Batch 2,0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_34.jpg
Corgi Trooper #9,35,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_35.jpg
Corgi Trooper #10,36,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_36.jpg
Corgi Trooper #11,37,side,Batch 2,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_37.jpg
Corgi Trooper #12,38,side,Batch 2,0x358c8b4836006235680367d70d9d148955b24154,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_38.jpg
Corgi Trooper #13,39,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_39.jpg
Corgi Trooper #14,40,side,Batch 2,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_40.jpg
Corgi Trooper #15,41,side,Batch 2,0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_41.jpg
Corgi Trooper #16,42,side,Batch 2,0x8d580265c37790f4c39ccaf398adefd341b3ca0b,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_42.jpg
Corgi Trooper #17,43,side,Batch 2,0x3f01fa6e75f9d0477108f994400280b71915bf56,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_43.jpg
Corgi Trooper #18,44,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_44.jpg
Corgi Trooper #19,45,side,Batch 2,0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_45.jpg
Corgi Trooper #20,46,side,Batch 2,0xadea3af062df0de0c29e67d001d0859cd738bccd,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_46.jpg
Corgi Trooper #21,47,side,Batch 2,0x6ffbb6c376d0cf590289671d652ae92213614828,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_47.jpg
Corgi Trooper #22,48,side,Batch 2,0xd473781816837c7cd2fadc34e66f09786d2e2694,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_48.jpg
Corgi Trooper #23,49,side,Batch 2,0x69ee43fd0b773b10a1dca11cc0c4f748219582dc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_49.jpg
Corgi Trooper #24,50,side,Batch 2,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_50.jpg
Corgi Chef,51,main,,0xadea3af062df0de0c29e67d001d0859cd738bccd,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_51.jpg
Corgi Soup,52,main,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_52.jpg
Professional Corgi,53,main,,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_53.jpg
Corgi Intern #1,54,side,Batch 3,0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_54.jpg
Corgi Intern #2,55,side,Batch 3,0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_55.jpg
Corgi Intern #3,56,side,Batch 3,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_56.jpg
Corgi Intern #4,60,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_60.jpg
Corgi Intern #5,61,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_61.jpg
Corgi Intern #6,62,side,Batch 3,0xeb7846ad58fbdac651830d5370a94488c06f282d,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_62.jpg
Corgi Intern #7,63,side,Batch 3,0x5a56e9ab6303794224ff8ab1c14bf2a5c26505bc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_63.jpg
Corgi Intern #8,64,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_64.jpg
Corgi Intern #9,65,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_65.jpg
Corgi Intern #10,66,side,Batch 3,0xeeb072ecbe68bd123888a60cafd4c8c4fa02c65b,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_66.jpg
Corgi Intern #11,67,side,Batch 3,0xd473781816837c7cd2fadc34e66f09786d2e2694,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_67.jpg
Corgi Intern #12,68,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_68.jpg
Corgi Intern #13,69,side,Batch 3,0x76ae34750143643afd66d09304f3009952afcf95,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_69.jpg
Corgi Intern #14,70,side,Batch 3,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_70.jpg
Corgi Intern #15,71,side,Batch 3,0x6ffbb6c376d0cf590289671d652ae92213614828,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_71.jpg
Corgi Intern #16,72,side,Batch 3,0x0c1c28ada4f896fcd6abe8aa25d1798af869adcc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_72.jpg
Corgi Intern #17,73,side,Batch 3,0x33c832bbdccd3188b0ec369e27bfd2164cb039fe,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_73.jpg
Corgi Intern #18,74,side,Batch 3,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_74.jpg
Corgi Intern #19,75,side,Batch 3,0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_75.jpg
Corgi Intern #20,76,side,Batch 3,0xfb1da3e12a54d9d4036f969049fd58c97c6d00b2,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_76.jpg
Corgi Intern #21,77,side,Batch 3,0x3327073bf46a6f38a23b83954d5a85b047585fde,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_77.jpg
Corgi Intern #22,78,side,Batch 3,0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_78.jpg
Corgi Intern #23,79,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_79.jpg
Bosch Corgi,80,main,,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_80.jpg
Spirit of Corgi,81,main,,0x90c41319d32b488b0d27b022c553755d9785d3d4,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_81.jpg
Captain Corgi,82,main,,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_82.jpg
CorgiVee,83,main,,0xd473781816837c7cd2fadc34e66f09786d2e2694,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_83.jpg
Interstellar Corgi,84,main,,0xf99c8873b972b4192e789f55ab954188d0d9a133,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_84.jpg
Austin Corgi,85,special,,0x44d19f3da0fcb4b4dd4baaad77ad35e962f6b921,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_85.jpg
24 Corgi$,86,special,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_86.jpg
Bebis Corgi,87,special,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_87.jpg
Spirit of King Corgi,88,main,,0xe7ba70a98b4b758df03cc4bd1f0e7f2883b1cf0d,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_88.jpg
Corgi Drakon,89,special,,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_89.jpg
DoubleSharp Corgi,90,special,,0x61125f52cee83ed5d7a6cd14598d34974b11865e,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_90.jpg
Corgi Clay,91,special,,0x6e432261013a87daad15648b9590c5c24f4b68b3,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_91.jpg
Spirit of Corgi,92,main,,0x8b478359b5593747473e67f78b1f0048c1c523ed,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_92.jpg
Sensei Corgi,93,main,,0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_93.gif
Time Traveling Corgi,94,main,,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_94.jpg
